text,label
"""Bad betrayal effects.",0
"""Token bodyguard character.",0
"""Overly long protection sequence.",0
"""Bad assassination effects.",0
"""Clichéd mistaken identity trope.",0
"""Overly dramatic reveal scene.",0
"""Bad disguise effects.",0
"""Token impostor character.",0
"""Overly long unmasking sequence.",0
"""Bad double-cross effects.",0
"""Clichéd long-lost relative trope.",0
"""Overly dramatic reunion scene.",0
"""Bad inheritance effects.",0
"""Token heir character.",0
"""Overly long will reading sequence.",0
"""Bad family secret effects.",0
"""Clichéd forbidden love trope.",0
"""Overly dramatic confession scene.",0
"""Bad scandal effects.",0
"""Token rival character.",0
"""Overly long competition sequence.",0
"""Bad sabotage effects.",0
"""Clichéd underdog trope.",0
"""Overly dramatic comeback scene.",0
"""Bad victory effects.",0
"""Token coach character.",0
"""Overly long training sequence.",0
"""Bad montage effects.",0
"""Clichéd big game trope.",0
"""Overly dramatic final play scene.",0
"""Bad slow-motion effects.",0
"""Token referee character.",0
"""Overly long controversy sequence.",0
"""Bad foul effects.",0
"""Clichéd cheating trope.",0
"""Overly dramatic investigation scene.",0
"""Bad suspension effects.",0
"""Token fan character.",0
"""Overly long protest sequence.",0
"""Bad riot effects.",0
"""Clichéd redemption trope.",0
"""Overly dramatic reinstatement scene.",0
"""Bad forgiveness effects.",0
"""Token commentator character.",0
"""Overly long broadcast sequence.",0
"""Bad interview effects.",0
"""Clichéd human interest trope.",0
"""Overly dramatic feature scene.",0
"""Bad ratings effects.",0
"""Token producer character.",0
"""Overly long production sequence.",0
"""Bad editing effects.",0
"""Clichéd director's cut trope.",0
"""Overly dramatic premiere scene.",0
"""Bad review effects.",0
"""Token critic character.",0
"""Overly long pan sequence.",0
"""Bad backlash effects.",0
"""Clichéd comeback trope.",0
"""Overly dramatic revival scene.",0
"""Bad reboot effects.",0
"""Token legacy character.",0
"""Overly long tribute sequence.",0
"""Bad homage effects.",0
"""Clichéd meta commentary trope.",0
"""Overly dramatic deconstruction scene.",0
"""Bad parody effects.",0
"""Token fan fiction character.",0
"""Overly long adaptation sequence.",0
"""Bad translation effects.",0
"""Clichéd unauthorized bio trope.",0
"""Overly dramatic lawsuit scene.",0
"""Bad settlement effects.",0
"""Token biographer character.",0
"""Overly long research sequence.",0
"""Bad revelation effects.",0
"""Clichéd exposé trope.",0
"""Overly dramatic interview scene.",0
"""Bad tell-all effects.",0
"""Token ghostwriter character.",0
"""Overly long writing sequence.",0
"""Bad writer's block effects.",0
"""Clichéd deadline trope.",0
"""Overly dramatic breakthrough scene.",0
"""Bad inspiration effects.",0
"""Token editor character.",0
"""Overly long revision sequence.",0
"""Bad rewrite effects.",0
"""Clichéd publisher trope.",0
"""Overly dramatic rejection scene.",0
"""Bad acceptance effects.",0
"""Token bookseller character.",0
"""Overly long signing sequence.",0
"""Bad bestseller effects.",0
"""Clichéd reading trope.",0
"""Overly dramatic fan encounter scene.",0
"""Bad stalker effects.",0
"""Token book club character.",0
"""Overly long discussion sequence.",0
"""Bad interpretation effects.",0
"""Clichéd misunderstanding trope.",0
"""Overly dramatic confrontation scene.",0
"""Bad apology effects.",0
"""Token librarian character.",0
"""Overly long cataloging sequence.",0
"""Bad classification effects.",0
"""Clichéd overdue book trope.",0
"""Overly dramatic fine scene.",0
"""Bad lost book effects.",0
"""Token archivist character.",0
"""Overly long restoration sequence.",0
"""Bad preservation effects.",0
"""Clichéd hidden manuscript trope.",0
"""Overly dramatic discovery scene.",0
"""Bad authentication effects.",0
"""Token collector character.",0
"""Overly long auction sequence.",0
"""Bad bidding effects.",0
"""Clichéd theft trope.",0
"""Overly dramatic heist scene.",0
"""Bad recovery effects.",0
"""Token detective character.",0
"""Overly long investigation sequence.",0
"""Bad clue effects.",0
"""Clichéd red herring trope.",0
"""Overly dramatic accusation scene.",0
"""Bad alibi effects.",0
"""Token suspect character.",0
"""Overly long interrogation sequence.",0
"""Bad confession effects.",0
"""Clichéd wrong man trope.",0
"""Overly dramatic chase scene.",0
"""Bad frame-up effects.",0
"""Token lawyer character.",0
"""Overly long trial sequence.",0
"""Bad evidence effects.",0
"""Clichéd courtroom twist trope.",0
"""Overly dramatic verdict scene.",0
"""Bad sentencing effects.",0
"""Token journalist character.",0
"""Overly long expose sequence.",0
"""Bad scandal effects.",0
"""Clichéd cover-up trope.",0
"""Overly dramatic confession scene.",0
"""Bad blackmail effects.",0
"""Token whistleblower character.",0
"""Overly long escape sequence.",0
"""Bad pursuit effects.",0
"""Clichéd safe house trope.",0
"""Overly dramatic ambush scene.",0
"""Bad betrayal effects.",0
"""Token bodyguard character.",0
"""Overly long protection sequence.",0
"""Bad assassination effects.",0
"""Clichéd mistaken identity trope.",0
"""Overly dramatic reveal scene.",0
"""Bad disguise effects.",0
"""Token impostor character.",0
"""Overly long unmasking sequence.",0
"""Bad double-cross effects.",0
"""Clichéd long-lost relative trope.",0
"""Overly dramatic reunion scene.",0
"""Bad inheritance effects.",0
"""Token heir character.",0
"""Overly long will reading sequence.",0
"""Bad family secret effects.",0
"""Clichéd forbidden love trope.",0
"""Overly dramatic confession scene.",0
"""Bad scandal effects.",0
"""Token rival character.",0
"""Overly long competition sequence.",0
"""Bad sabotage effects.",0
"""Clichéd underdog trope.",0
"""Overly dramatic comeback scene.",0
"""Bad victory effects.",0
"""Token coach character.",0
"""Overly long training sequence.",0
"""Bad montage effects.",0
"""Clichéd big game trope.",0
"""Overly dramatic final play scene.",0
"""Bad slow-motion effects.",0
"""Token referee character.",0
"""Overly long controversy sequence.",0
"""Bad foul effects.",0
"""Clichéd cheating trope.",0
"""Overly dramatic investigation scene.",0
"""Bad suspension effects.",0
"""Token fan character.",0
"""Overly long protest sequence.",0
"""Bad riot effects.",0
"""Clichéd redemption trope.",0
"""Overly dramatic reinstatement scene.",0
"""Bad forgiveness effects.",0
"""Token commentator character.",0
"""Overly long broadcast sequence.",0
"""Bad interview effects.",0
"""Clichéd human interest trope.",0
"""Overly dramatic feature scene.",0
"""Bad ratings effects.",0
"""Token producer character.",0
"""Overly long production sequence.",0
"""Bad editing effects.",0
"""Clichéd director's cut trope.",0
"""Overly dramatic premiere scene.",0
"""Bad review effects.",0
"""Token critic character.",0
"""Overly long pan sequence.",0
"""Bad backlash effects.",0
"""Clichéd comeback trope.",0
"""Overly dramatic revival scene.",0
"""Bad reboot effects.",0
"""Token legacy character.",0
"""Overly long tribute sequence.",0
"""Bad homage effects.",0
"""Clichéd meta commentary trope.",0
"""Overly dramatic deconstruction scene.",0
"""Bad parody effects.",0
"""Token fan fiction character.",0
"""Overly long adaptation sequence.",0
"""Bad translation effects.",0
"""Clichéd unauthorized bio trope.",0
"""Overly dramatic lawsuit scene.",0
"""Bad settlement effects.",0
"""Token biographer character.",0
"""Overly long research sequence.",0
"""Bad revelation effects.",0
"""Clichéd exposé trope.",0
"""Overly dramatic interview scene.",0
"""Bad tell-all effects.",0
"""Token ghostwriter character.",0
"""Overly long writing sequence.",0
"""Bad writer's block effects.",0
"""Clichéd deadline trope.",0
"""Overly dramatic breakthrough scene.",0
"""Bad inspiration effects.",0
"""Token editor character.",0
"""Overly long revision sequence.",0
"""Bad rewrite effects.",0
"""Clichéd publisher trope.",0
"""Overly dramatic rejection scene.",0
"""Bad acceptance effects.",0
"""Token bookseller character.",0
"""Overly long signing sequence.",0
"""Bad bestseller effects.",0
"""Clichéd reading trope.",0
"""Overly dramatic fan encounter scene.",0
"""Bad stalker effects.",0
"""Token book club character.",0
"""Overly long discussion sequence.",0
"""Bad interpretation effects.",0
"""Clichéd misunderstanding trope.",0
"""Overly dramatic confrontation scene.",0
"""Bad apology effects.",0
"""Token librarian character.",0
"""Overly long cataloging sequence.",0
"""Bad classification effects.",0
"""Clichéd overdue book trope.",0
"""Overly dramatic fine scene.",0
"""Bad lost book effects.",0
"""Token archivist character.",0
"""Overly long restoration sequence.",0
"""Bad preservation effects.",0
"""Clichéd hidden manuscript trope.",0
"""Overly dramatic discovery scene.",0
"""Bad authentication effects.",0
"""Token collector character.",0
"""Overly long auction sequence.",0
"""Bad bidding effects.",0
"""Clichéd theft trope.",0
"""Overly dramatic heist scene.",0
"""Bad recovery effects.",0
"""Token detective character.",0
"""Overly long investigation sequence.",0
"""Bad clue effects.",0
"""Clichéd red herring trope.",0
"""Overly dramatic accusation scene.",0
"""Bad alibi effects.",0
"""Token suspect character.",0
"""Overly long interrogation sequence.",0
"""Bad confession effects.",0
"""Clichéd wrong man trope.",0
"""Overly dramatic chase scene.",0
"""Bad frame-up effects.",0
"""Token lawyer character.",0
"""Overly long trial sequence.",0
"""Bad evidence effects.",0
"""Clichéd courtroom twist trope.",0
"""Overly dramatic verdict scene.",0
"""Bad sentencing effects.",0
"""Token journalist character.",0
"""Overly long expose sequence.",0
"""Bad scandal effects.",0
"""Clichéd cover-up trope.",0
"""Overly dramatic confession scene.",0
"""Bad blackmail effects.",0
"""Token whistleblower character.",0
"""Overly long escape sequence.",0
"""Bad pursuit effects.",0
"""Clichéd safe house trope.",0
"""Overly dramatic ambush scene.",0
